"ID","Date","Time","Name","Grams","Price","Email","Phone","Country_Residence","Country_Delivery","Source","Status"
"MWOA-565659","2026-09-01","22:42:45","DD 104","12345","4,938,000 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Order Form","Paid"
"MWOA-295904","2026-09-01","23:38:15","Order Form Test","10","4,000 درهم مغربي","test@gmail.com","+212631883412","Morocco","Morocco","Order Form","Pending"
"MWOA-425546","2026-09-01","23:40:25","Real Order Form","12","4,800 درهم مغربي","real@example.com","+212631883412","Morocco","Morocco","Order Form","Pending"
"MWOA-885122","2026-09-01","22:48:05","pojp","88","13,200 ريال سعودي","abdeljadmonim@gmail.com","+212631883412","المغرب","السعودية","Order Form","Pending"
"MWOA-109876","2026-09-01","22:51:49","DD 104","12345","4,938,000 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Order Form","Pending"
"MWOA-194230","2026-09-01","23:53:14","Customer With Stored Price","15","2,250 ريال سعودي","customer@amber.com","+212631883412","المغرب","السعودية","Order Form","Pending"
"MWOA-777355","2026-09-01","23:02:57","JPOJ","4","645.6 ريال سعودي","mazgouraabdalmounim@gmail.com","+212631883412","المغرب","السعودية","Order Form","Paid"
"MWOA-945787","2026-09-13","18:09:05","Yahya Roudri","10","4,000 درهم مغربي","yahyaroudri560@gmail.com","+212 645409907","المغرب","المغرب","Order Form","Pending"
"MWOA-011562","2026-09-13","18:26:51","yassine","200","2,656 دينار كويتي","mazgouraabdalmounim@gmail.com","+974 631883412","قطر","الكويت","Order Form","Pending"
"MWOA-973280","2026-09-23","21:56:13","Karim Alaoui","3","1 200 درهم مغربي","karim@example.com","+212612345678","Morocco","Morocco","Online Card","Paid"
"MWOA-224602","2026-09-23","22:00:24","ABDEL MONIM MAZGOURA","37","14 800 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-462520","2026-09-23","22:04:22","ABDEL MONIM MAZGOURA","37","14 800 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-478903","2026-09-23","22:04:38","ABDEL MONIM MAZGOURA","37","14 800 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-489483","2026-09-23","22:04:49","ABDEL MONIM MAZGOURA","37","14 800 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-564193","2026-09-23","22:06:04","ABDEL MONIM MAZGOURA","37","14 800 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-573802","2026-09-23","22:06:13","ABDEL MONIM MAZGOURA","37","14 800 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-637045","2026-09-23","22:07:17","ABDEL MONIM MAZGOURA","37","14 800 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-904741","2026-09-23","22:11:44","ABDEL MONIM MAZGOURA","37","14 800 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-801073","2026-09-23","22:26:41","ABDEL MONIM MAZGOURA","1","400 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-932089","2026-09-23","22:28:52","ABDEL MONIM MAZGOURA","1","400 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-054693","2026-09-23","22:30:54","ABDEL MONIM MAZGOURA","1","400 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-420332","2026-09-23","22:37:00","ABDEL MONIM MAZGOURA","1","400 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-604848","2026-09-23","23:30:04","ABDEL MONIM MAZGOURA","1","400 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-406270","2026-09-23","23:43:26","ABDEL MONIM MAZGOURA","1","400 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-448273","2026-09-23","23:44:08","ABDEL MONIM MAZGOURA","1","400 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Paid"
"MWOA-795805","2026-09-24","01:13:15","ABDEL MONIM MAZGOURA","2","834,55 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-826849","2026-09-24","01:13:46","ABDEL MONIM MAZGOURA","2","834,55 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
"MWOA-982024","2026-09-24","01:16:22","ABDEL MONIM MAZGOURA","2","834,55 درهم مغربي","mazgouraabdalmounim@gmail.com","+212631883412","Morocco","Morocco","Online Card","Pending"
